FCLTY_NM,FCLTY_SDIV_CD,FCLTY_FLAG_NM,INDUTY_CD,INDUTY_NM,FCLTY_TY_CD,FCLTY_TY_NM,POSESN_MBY_CD,POSESN_MBY_NM,POSESN_MBY_CTPRVN_CD,POSESN_MBY_CTPRVN_NM,POSESN_MBY_SIGNGU_CD,POSESN_MBY_SIGNGU_NM,RSPNSBLTY_DEPT_NM,RSPNSBLTY_TEL_NO,ROAD_NM_CTPRVN_CD,ROAD_NM_CTPRVN_NM,ROAD_NM_SIGNGU_CD,ROAD_NM_SIGNGU_NM,ROAD_NM_EMD_CD,ROAD_NM_EMD_NM,ROAD_NM_LI_CD,ROAD_NM_LI_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,FCLTY_AR_CO,ACMD_NMPR_CO,ADTM_CO,FCLTY_HMPG_URL,NATION_ALSFC_AT,FCLTY_STATE_CD,DEL_AT
"국당마을 소공원","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4713000000","경주시","체육진흥과","054-779-6967","4700000000","경상북도","4713000000","경주시",,,,,"경상북도 경주시 황남동 483-3","129.210528481299","35.8270459600073",,,,,"N","00","N"
"국사2리(국사길 63 소공원)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"금서면 매촌마을 운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군",,,"4800000000","경상남도","4886000000","산청군","4886034021","매촌리",,,"경상남도 산청군 금서면 친환경로 2536","127.26543401552541","36.49787652957536",,,,,"N","00","N"
"남전2리 마을회관앞","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7958","4700000000","경상북도","4715000000","김천시","4715034028","남전리",,,"경상북도 김천시 개령면 남전4길 92-1","128.167332211187","36.2015839475731",,,,,"N","00","N"
"덕전4길 12","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"덕전4길 157-16 (덕전2리)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"덕전리 1017-1 (덕전3리) 세송","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"덕촌2리  소공원","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"도평1리 마을쉼터 (도로옆)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7949","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"마포푸르메스포츠센터","P","공공","P11","수영장","P1101","수영장","01","지방자치단체","1100000000","서울특별시","1144000000","마포구",,,"1100000000","서울특별시","1144000000","마포구","1144012700","상암동",,,"서울특별시 마포구 월드컵북로 494 (상암동)","126.880520296415","37.5846474329581","1911",,,,"N","00","N"
"모전1-1공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경북 문경시 모전동 1267","128.19042557338773","36.58404717822616",,,,,"N","00","N"
"봉산3리","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8049","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"봉산3리 889","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"산23-3번지(돌산공원 내)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","2600000000","부산광역시","2629000000","남구","문화체육과","051-607-4372","2600000000","부산광역시","2629000000","남구","2629010900","문현동",,,"부산광역시 남구 돌산1길 27 (문현동)","129.07082582023477","35.147830223799886",,,,,"N","99","N"
"산청군 산청읍 모고리 (모고마을) 운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군","문화관광과","055-970-6414","4800000000","경상남도","4886000000","산청군","4886025024","모고리",,,"경상남도 산청군 산청읍 친환경로2842번길 37","127.8885301978","35.4307559171",,,,,"N","99","Y"
"산청군 산청읍 범학리 (범학마을) 운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군","문화관광과","055-970-6414","4800000000","경상남도","4886000000","산청군","4886025032","범학리",,,"경상남도 산청군 산청읍 범학길 100","127.913929351","35.3891397079",,,,,"N","99","Y"
"산청군 산청읍 산청리 (청호마을)운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군",,,"4800000000","경상남도","4886000000","산청군","4886025021","산청리",,,"경상남도 산청군 산청읍 친환경로 2678","127.8777549922","35.4168467808",,,,,"N","99","Y"
"산청군 오부면 방곡리 260(금곡마을)운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군","문화관광과","055-970-6414","4800000000","경상남도","4886000000","산청군","4886032022","방곡리",,,"경상남도 산청군 오부면 금곡길 107","127.8876363464","35.4604759321",,,,,"N","99","Y"
"상금리  651-1","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8028","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"상금리  651-1번지","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"성당뒤","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8092","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"수도사업소 입구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4717000000","안동시","용상동","054-840-4781","4700000000","경상북도","4717000000","안동시",,,,,"경북 안동시 용상동 440-9","128.7675695627","36.55215363",,,,,"N","00","N"
"수철마을(마을회관 옆) 운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4800000000","경상남도","4886000000","산청군","문화관광과","055-970-6414","4800000000","경상남도","4886000000","산청군","4886034024","수철리",,,"경상남도 산청군 금서면 친환경로2211번길 85-3","127.8263680067","35.4046813932",,,,,"N","99","Y"
"신리 봉계초등학교 (강당뒤)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"신리 봉계초등학교 (강당뒤)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8031","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"신안2리  회관뒤 (소공원)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8081","4700000000","경상북도","4715000000","김천시","4715040021","신안리",,,"경상북도 김천시 조마면 신안2길 155","128.10867850521","36.0747736565561",,,,,"N","00","N"
"신암1리 ( 마을회관 옆))","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"신암1리 ( 마을회관 옆))","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8032","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"아침도시공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경북 문경시 모전동 953-4","128.18882421260233","36.59677931493036",,,,,"N","00","N"
"양각길 427 (마을회관 내 외)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"어룡동 소촌마을 동네체육시설","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","1200000000","전남광주통합특별시","1233000000","광산구","문화체육팀",,"1200000000","전남광주통합특별시","1233000000","광산구",,,,,"전남광주통합특별시 광산구 소촌동 461-3","126.794461355","35.1454398846",,,,,"N","00","N"
"여배2리 372-2","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"여중2공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경상북도 문경시 반쟁이3길 29 (모전동)","128.18944854164852","36.5940626148738",,,,,"N","00","N"
"연봉길 186 (봉천1리 회관내)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"예지리(봉계3길42-5)봉암서당앞","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"월계2길 128 (마을회관내)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"의2리 마을쉼터 (공쌍)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"이동운동장족구장","P","공공","P22","기타시설","P2201","기타시설","01","지방자치단체","4800000000","경상남도","4812000000","창원시",,,"4800000000","경상남도","4812900000","창원시 진해구","4812914100","이동",,,"경상남도 창원시 진해구 이동로2번길 8 (이동)","128.6915810617","35.1509815275968","704",,,,"N","00","N"
"인4리 소공원 (황소)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"인의2리 마을회관앞 (직동입구)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-8029","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"인의2리 마을회관앞 (직동입구)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"입석리 1416-5  (입석리회관옆) 입석리 470 맞은편","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7983","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"장미공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경북 문경시 모전동 865-4","128.1892312900023","36.58543956870063",,,,,"N","00","N"
"제석1길 46-16( 692-1번지)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"제일공원 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4728000000","문경시",,,"4700000000","경상북도","4728000000","문경시","4728011000","모전동",,,"경상북도 문경시 매봉2길 15-12 (모전동)","128.18382300404443","36.5860016248912",,,,,"N","00","N"
"차탄리 노인회관 뒤","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4100000000","경기도","4180000000","연천군","체육진흥팀","031-839-2145","4100000000","경기도","4180000000","연천군","4180025021","차탄리",,,"경기도 연천군 연천읍 차현로 92","127.0768134756","38.0994042341",,,,,"N","00","N"
"태촌2리 소공원 (연못옆)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7931","4700000000","경상북도","4715000000","김천시","4715035033","태촌리",,,"경상북도 김천시 감문면 성촌1길 98","128.223602772986","36.200622456532",,,,,"N","99","N"
"태촌리 3리 배시내소공원","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7929","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","N"
"터골마을 덕촌3리","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7961","4700000000","경상북도","4715000000","김천시","4715034023","덕촌리",,,"경상북도 김천시 개령면 덕촌2길 259","128.16845741575","36.1732533009745",,,,,"N","00","N"
"팽목경로당 야외운동기구","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4717000000","안동시",,,"4700000000","경상북도","4717000000","안동시","4717035021","귀미리",,,"경상북도 안동시 일직면 일직점곡로 383-23","128.702306908383","36.4601333556324",,,,,"N","00","N"
"하당근린공원파크골프장","P","공공","P23","기타체육시설(체력단련장)","P2301","기타체육시설(체력단련장)","01","지방자치단체","1200000000","전남광주통합특별시","1211000000","목포시",,,"1200000000","전남광주통합특별시","1211000000","목포시","1211016400","옥암동",,,"전남광주통합특별시 목포시 통일대로119번길 61 (옥암동)","126.433724657003","34.8074010690952","0",,,,"N","00","N"
"화전4길295-6  477-91(광신원)","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4715000000","김천시","스포츠산업과","054-420-7928","4700000000","경상북도","4715000000","김천시",,,,,,,,,,,,"N","00","Y"
"(갈지리)삼성마을","P","공공","P08","간이운동장","P0801","간이운동장","01","지방자치단체","4700000000","경상북도","4782000000","청도군",,,"4700000000","경상북도","4782000000","청도군","4782036034","갈지리",,,"경상북도 청도군 금천면 삼성길 15","128.85854468981506","35.74542597066882",,,,,"N","00","N"
"(게이트볼장-01) 동면상동체육공원","P","공공","P22","기타시설","P2201","기타시설","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833031023","여락리",,,"경상남도 양산시 동면 여락송정로 100","129.089542283205","35.3060568453975","460",,,,"N","00","Y"
"(게이트볼장-01) 동면상동체육공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833031023","여락리",,,"경상남도 양산시 동면 여락송정로 100","129.089542283205","35.3060568453975","400",,,,"N","00","N"
"(게이트볼장-02) 선리게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833032026","선리",,,"경남 양산시 원동면 선리 1489","128.98534635408","35.4867135787039","418",,,,"N","00","N"
"(게이트볼장-03) 원리게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833032021","원리",,,"경상남도 양산시 원동면 원동마을길 65","128.917564164564","35.3672066979511","437",,,,"N","00","N"
"(게이트볼장-04) 범서게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833032027","서룡리",,,"경상남도 양산시 원동면 원동로 804","128.960249710629","35.3431209331701","381",,,,"N","00","N"
"(게이트볼장-05) 범서","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833032027","서룡리",,,"경상남도 양산시 원동면 원동로 804","128.960249710629","35.3431209331701","381",,,,"N","99","N"
"(게이트볼장-05) 삼감게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833034027","삼감리",,,"경남 양산시 하북면 삼감리 470-3","129.071340519286","35.4514707973338","409",,,,"N","00","N"
"(게이트볼장-06) 어곡주민공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833011200","어곡동",,,"경상남도 양산시 학동길 45(어곡동)","129.026993937314","35.3777149633892","4800",,,,"N","00","N"
"(게이트볼장-07) 강서교동게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833011000","교동",,,"경상남도 양산시 충렬로 27(교동)","129.028463816765","35.3474168915946","330",,,,"N","00","N"
"(게이트볼장-08) 서창게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833011400","삼호동",,,"경남 양산시 삼호동 823-2","129.182024788836","35.4114993281266","374",,,,"N","00","N"
"(게이트볼장-10) 남부빗물펌프장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833010200","남부동",,,"경상남도 양산시 강변로 320(남부동)","127.26543401552541","36.49787652957536","0",,,,"N","99","N"
"(게이트볼장-10) 평산게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833011900","평산동",,,"경남 양산시 평산동 74-2","129.153030588401","35.3832236570088","440",,,,"N","00","N"
"(게이트볼장-11) 웅상게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시","(출)주민복지과","055-392-6181","4800000000","경상남도","4833000000","양산시","4833012000","덕계동",,,,"129.157194850971","35.3854033013807","552",,,,"N","00","N"
"(게이트볼장-12) 제26호 완충녹지(남부공원)","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833010200","남부동",,,"경남 양산시 남부동 888","129.022996760786","35.3320317388725","240",,,,"N","00","N"
"(게이트볼장-13) 마로니에어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833010700","북정동",,,"경남 양산시 북정동 912-1","129.041157624624","35.3561297240618","340",,,,"N","00","N"
"(게이트볼장-14) 범어근린공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833025324","범어리",,,"경상남도 양산시 물금읍 서남5길 33-1","129.000293994884","35.3296750159268","400",,,,"N","00","N"
"(게이트볼장-14) 웅상게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833012000","덕계동",,,"경남 양산시 덕계동 811-51","129.157194850971","35.3854033013807","522",,,,"N","00","Y"
"(게이트볼장-15) 제43호 완충녹지","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833025324","범어리",,,"경남 양산시 물금읍 범어리 2818","129.020424016471","35.3321213682948","370",,,,"N","00","N"
"(게이트볼장-16) 동새들천 근린공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833025324","범어리",,,"경상남도 양산시 물금읍 신주1길 51","129.018390073712","35.3374710412127","500",,,,"N","00","N"
"(게이트볼장-17) 새터어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833025323","가촌리",,,"경상남도 양산시 물금읍 가촌서7길 19","128.991801262514","35.3202864917861","500",,,,"N","00","N"
"(게이트볼장-18) 해강어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833031026","석산리",,,"경상남도 양산시 동면 석산6길 13","129.030987575123","35.3153484326587","380",,,,"N","00","Y"
"(게이트볼장-19) 은행나무어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833031027","금산리",,,"경상남도 양산시 동면 금산5길 48-8","129.029195203486","35.3092823610686","450",,,,"N","00","N"
"(게이트볼장-20) 하북 북부어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833034021","순지리",,,"경상남도 양산시 하북면 신평7길 17","129.085177712099","35.494122297813","467",,,,"N","00","N"
"(게이트볼장-21) 옥곡어린이공원","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833010200","남부동",,,"경상남도 양산시 옥곡2길 8(남부동)","129.036573708189","35.3359340907983","340",,,,"N","00","N"
"(게이트볼장-22) 상북게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833033021","석계리",,,"경상남도 양산시 상북면 삼계동길 25","129.066123850778","35.4186845781386","414",,,,"N","00","N"
"(게이트볼장-22) 상북게이트볼장","P","공공","P10","전천후게이트볼장","P1001","전천후게이트볼장","01","지방자치단체","4800000000","경상남도","4833000000","양산시",,,"4800000000","경상남도","4833000000","양산시","4833033021","석계리",,,"경상남도 양산시 상북면 삼계동길 25","129.066123850778","35.4186845781386","6105",,,,"N","99","N"
